16:35:53:874 [main] INFO  fajar.logging.LevelLogTest - ini info
16:35:53:876 [main] WARN  fajar.logging.LevelLogTest - ini warning
16:35:53:876 [main] ERROR fajar.logging.LevelLogTest - ini error
16:50:25:721 [main] INFO  fajar.logging.LevelLogTest - ini info
16:50:25:723 [main] WARN  fajar.logging.LevelLogTest - ini warning
16:50:25:723 [main] ERROR fajar.logging.LevelLogTest - ini error
16:51:30:124 [main] INFO  fajar.logging.LevelLogTest - ini info
16:51:30:126 [main] WARN  fajar.logging.LevelLogTest - ini warning
16:51:30:126 [main] ERROR fajar.logging.LevelLogTest - ini error
17:06:46:062 {yyyy-MM-dd} [main] INFO  fajar.logging.LevelLogTest - ini info
17:06:46:064 {yyyy-MM-dd} [main] WARN  fajar.logging.LevelLogTest - ini warning
17:06:46:064 {yyyy-MM-dd} [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05 17:10:06,885 [main] INFO  fajar.logging.LevelLogTest - ini info
2024-08-05 17:10:06,887 [main] WARN  fajar.logging.LevelLogTest - ini warning
2024-08-05 17:10:06,887 [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05:17:10:32:010 [main] INFO  fajar.logging.LevelLogTest - ini info
2024-08-05:17:10:32:012 [main] WARN  fajar.logging.LevelLogTest - ini warning
2024-08-05:17:10:32:012 [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05 17:12:09:400 [main] INFO  fajar.logging.LevelLogTest - ini info
2024-08-05 17:12:09:402 [main] WARN  fajar.logging.LevelLogTest - ini warning
2024-08-05 17:12:09:402 [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05 20:25:57:153 [main] INFO  fajar.logging.MyController - 1fb544ff-bfc1-482a-9d2e-85ffe3a2205d - Service 
2024-08-05 21:16:46:327 [Thread-6] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-0] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-5] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-6] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-2] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-3] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:328 [Thread-5] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:17:01:554 [Thread-8] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-4] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-6] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-3] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-7] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:555 [Thread-9] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-0] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-1] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:555 [Thread-6] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:554 [Thread-5] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:554 [Thread-2] INFO  fajar.logging.MyController - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Service 
2024-08-05 21:17:01:555 [Thread-8] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:555 [Thread-3] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-0] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-6] INFO  fajar.logging.MyRepository - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-3] INFO  fajar.logging.MyRepository - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-1] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:555 [Thread-4] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-8] INFO  fajar.logging.MyRepository - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-2] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-4] INFO  fajar.logging.MyRepository - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-5] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-9] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-7] INFO  fajar.logging.MyService - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-5] INFO  fajar.logging.MyRepository - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
2024-08-05 21:17:01:556 [Thread-0] INFO  fajar.logging.MyRepository - [b927dffd-4599-430e-b6f7-20cbf0011f85] -  - Repository 
